,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,year,top_team,most_win,umpires,umpire_values,bat_first_winner,bat_second_winner,losser,toss2win
31,32,2017,Chandigarh,2017-04-28,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,26,0,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon,CK Nandan,,,,,K Srinath,15,Delhi Daredevils,Kolkata Knight Riders,Kings XI Punjab,0
32,33,2017,Pune,2017-04-29,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rising Pune Supergiants,61,0,LH Ferguson,Maharashtra Cricket Association Stadium,KN Ananthapadmanabhan,M Erasmus,,,,,SL Shastri,14,Rajasthan Royals,Mumbai Indians,Royal Challengers Bangalore,0
33,34,2017,Rajkot,2017-04-29,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,tie,0,Mumbai Indians,0,0,KH Pandya,Saurashtra Cricket Association Stadium,Anil Chaudhary,CB Gaffaney,,,,,IL Howell,14,Kings XI Punjab,Delhi Daredevils,Gujarat Lions,0
34,35,2017,Chandigarh,2017-04-30,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,10,Sandeep Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",YC Barde,CK Nandan,,,,,KN Ananthapadmanabhan,14,Mumbai Indians,Royal Challengers Bangalore,Delhi Daredevils,1
35,36,2017,Hyderabad,2017-04-30,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Sunrisers Hyderabad,48,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Anil Dandekar,S Ravi,,,,,MR Benson,12,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,0
36,37,2017,Mumbai,2017-05-01,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,0,5,RG Sharma,Wankhede Stadium,Anil Chaudhary,CB Gaffaney,,,,,Yeshwant Barde,12,Chennai Super Kings,Rajasthan Royals,Royal Challengers Bangalore,0
37,38,2017,Pune,2017-05-01,Gujarat Lions,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,0,Rising Pune Supergiants,0,5,BA Stokes,Maharashtra Cricket Association Stadium,M Erasmus,C Shamshuddin,,,,,PR Reiffel,11,Kolkata Knight Riders,Delhi Daredevils,Gujarat Lions,1
38,39,2017,Delhi,2017-05-02,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,6,Mohammed Shami,Feroz Shah Kotla,YC Barde,Nitin Menon,,,,,Marais Erasmus,11,Kolkata Knight Riders,Rajasthan Royals,Sunrisers Hyderabad,1
39,40,2017,Kolkata,2017-05-03,Kolkata Knight Riders,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,0,Rising Pune Supergiants,0,4,RA Tripathi,Eden Gardens,KN Ananthapadmanabhan,A Nand Kishore,,,,,Rod Tucker,9,Kings XI Punjab,Rajasthan Royals,Kolkata Knight Riders,1
40,41,2017,Delhi,2017-05-04,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,RR Pant,Feroz Shah Kotla,M Erasmus,Nitin Menon,,,,,Chris Gaffaney,9,Delhi Daredevils,Chennai Super Kings,Gujarat Lions,1
41,42,2017,Bangalore,2017-05-05,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kings XI Punjab,19,0,Sandeep Sharma,M Chinnaswamy Stadium,CB Gaffaney,C Shamshuddin,,,,,VK Sharma,9,Rajasthan Royals,Deccan Chargers,Royal Challengers Bangalore,0
42,43,2017,Hyderabad,2017-05-06,Rising Pune Supergiants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Rising Pune Supergiants,12,0,JD Unadkat,"Rajiv Gandhi International Stadium, Uppal",KN Ananthapadmanabhan,Anil Chaudhary,,,,,PG Pathak,8,Mumbai Indians,Kings XI Punjab,Sunrisers Hyderabad,0
43,44,2017,Delhi,2017-05-06,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,146,0,LMP Simmons,Feroz Shah Kotla,Nitin Menon,CK Nandan,,,,,Vineet Kulkarni,8,Kings XI Punjab,Mumbai Indians,Delhi Daredevils,0
44,45,2017,Bangalore,2017-05-07,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,SP Narine,M Chinnaswamy Stadium,Anil Dandekar,C Shamshuddin,,,,,RM Deshpande,7,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,1
45,46,2017,Chandigarh,2017-05-07,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,6,DR Smith,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore,VK Sharma,,,,,Kumar Dharmasena,7,Rajasthan Royals,Delhi Daredevils,Kings XI Punjab,1
46,47,2017,Hyderabad,2017-05-08,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Sunrisers Hyderabad,0,7,S Dhawan,"Rajiv Gandhi International Stadium, Uppal",KN Ananthapadmanabhan,M Erasmus,,,,,GAV Baxter,7,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,0
47,48,2017,Chandigarh,2017-05-09,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings XI Punjab,14,0,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore,S Ravi,,,,,SJ Davis,7,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,0
48,49,2017,Kanpur,2017-05-10,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,2,SS Iyer,Green Park,YC Barde,Anil Chaudhary,,,,,AL Hill,6,Mumbai Indians,Kings XI Punjab,Gujarat Lions,1
49,50,2017,Mumbai,2017-05-11,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,7,0,WP Saha,Wankhede Stadium,A Deshmukh,A Nand Kishore,,,,,A Deshmukh,6,Royal Challengers Bangalore,Deccan Chargers,Mumbai Indians,0
50,51,2017,Delhi,2017-05-12,Delhi Daredevils,Rising Pune Supergiants,Delhi Daredevils,bat,normal,0,Delhi Daredevils,7,0,KK Nair,Feroz Shah Kotla,KN Ananthapadmanabhan,CK Nandan,,,,,Ian Gould,6,Chennai Super Kings,Mumbai Indians,Rising Pune Supergiants,1
51,52,2017,Kanpur,2017-05-13,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,8,Mohammed Siraj,Green Park,Anil Chaudhary,Nitin Menon,,,,,AV Jayaprakash,6,Deccan Chargers,Chennai Super Kings,Gujarat Lions,1
52,53,2017,Kolkata,2017-05-13,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Mumbai Indians,9,0,AT Rayudu,Eden Gardens,A Nand Kishore,S Ravi,,,,,A.D Deshmukh,6,Delhi Daredevils,Rajasthan Royals,Kolkata Knight Riders,0
53,54,2017,Pune,2017-05-14,Kings XI Punjab,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,0,Rising Pune Supergiants,0,9,JD Unadkat,Maharashtra Cricket Association Stadium,Anil Dandekar,A Deshmukh,,,,,SD Fry,6,Rajasthan Royals,Mumbai Indians,Kings XI Punjab,1
54,55,2017,Delhi,2017-05-14,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,10,0,HV Patel,Feroz Shah Kotla,CK Nandan,C Shamshuddin,,,,,I Shivram,6,Deccan Chargers,Rajasthan Royals,Delhi Daredevils,1
55,56,2017,Mumbai,2017-05-16,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,field,normal,0,Rising Pune Supergiants,20,0,Washington Sundar,Wankhede Stadium,S Ravi,C Shamshuddin,,,,,Virender Kumar Sharma,6,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,0
56,57,2017,Bangalore,2017-05-17,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,0,7,NM Coulter-Nile,M Chinnaswamy Stadium,Anil Chaudhary,Nitin Menon,,,,,K Ananthapadmanabhan,6,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,1
57,58,2017,Bangalore,2017-05-19,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,KV Sharma,M Chinnaswamy Stadium,NJ Llong,Nitin Menon,,,,,GA Pratapkumar,6,Kings XI Punjab,Mumbai Indians,Kolkata Knight Riders,1
58,59,2017,Hyderabad,2017-05-21,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,normal,0,Mumbai Indians,1,0,KH Pandya,"Rajiv Gandhi International Stadium, Uppal",NJ Llong,S Ravi,,,,,TH Wijewardene,5,Chennai Super Kings,Kings XI Punjab,Rising Pune Supergiants,1
59,60,2008,Bangalore,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,140,0,BB McCullum,M Chinnaswamy Stadium,Asad Rauf,RE Koertzen,,,,,Ulhas Gandhe,5,Mumbai Indians,Chennai Super Kings,Royal Challengers Bangalore,0
60,61,2008,Chandigarh,2008-04-19,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,33,0,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",MR Benson,SL Shastri,,,,,YC Barde,4,Royal Challengers Bangalore,Delhi Daredevils,Kings XI Punjab,1
61,62,2008,Delhi,2008-04-19,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,Delhi Daredevils,0,9,MF Maharoof,Feroz Shah Kotla,Aleem Dar,GA Pratapkumar,,,,,K Bharatan,3,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,0
62,63,2008,Mumbai,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,0,5,MV Boucher,Wankhede Stadium,SJ Davis,DJ Harper,,,,,KN Anantapadmanabhan,3,Chennai Super Kings,Kings XI Punjab,Mumbai Indians,0
63,64,2008,Kolkata,2008-04-20,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,normal,0,Kolkata Knight Riders,0,5,DJ Hussey,Eden Gardens,BF Bowden,K Hariharan,,,,,K Srinivasan,3,Rajasthan Royals,Delhi Daredevils,Deccan Chargers,0
64,65,2008,Jaipur,2008-04-21,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Rajasthan Royals,0,6,SR Watson,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin,,,,,SD Ranade,2,Deccan Chargers,Kolkata Knight Riders,Kings XI Punjab,0
65,66,2008,Hyderabad,2008-04-22,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Delhi Daredevils,0,9,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba,,,,,Subroto Das,1,Chennai Super Kings,Rajasthan Royals,Deccan Chargers,0
66,67,2008,Chennai,2008-04-23,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Chennai Super Kings,6,0,ML Hayden,"MA Chidambaram Stadium, Chepauk",DJ Harper,GA Pratapkumar,,,,,Sundaram Ravi,1,Mumbai Indians,Chennai Super Kings,Mumbai Indians,0
67,68,2008,Hyderabad,2008-04-24,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,3,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,MR Benson,,,,,,0,Deccan Chargers,Chennai Super Kings,Deccan Chargers,1
68,69,2008,Chandigarh,2008-04-25,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,66,0,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,AM Saheba,,,,,,0,Delhi Daredevils,Rajasthan Royals,Mumbai Indians,0
69,70,2008,Bangalore,2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,SR Watson,M Chinnaswamy Stadium,MR Benson,IL Howell,,,,,,0,Rajasthan Royals,Delhi Daredevils,Royal Challengers Bangalore,1
70,71,2008,Chennai,2008-04-26,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,0,9,JDP Oram,"MA Chidambaram Stadium, Chepauk",BF Bowden,AV Jayaprakash,,,,,,0,Kings XI Punjab,Deccan Chargers,Kolkata Knight Riders,0
71,72,2008,Mumbai,2008-04-27,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,10,AC Gilchrist,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,,,,,,0,Delhi Daredevils,Kolkata Knight Riders,Mumbai Indians,1
72,73,2008,Chandigarh,2008-04-27,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,Kings XI Punjab,0,4,SM Katich,"Punjab Cricket Association Stadium, Mohali",RE Koertzen,I Shivram,,,,,,0,Chennai Super Kings,Kings XI Punjab,Delhi Daredevils,0
73,74,2008,Bangalore,2008-04-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,13,0,MS Dhoni,M Chinnaswamy Stadium,BR Doctrove,RB Tiffin,,,,,,0,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,1
74,75,2008,Kolkata,2008-04-29,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,0,7,ST Jayasuriya,Eden Gardens,BF Bowden,AV Jayaprakash,,,,,,0,Deccan Chargers,Deccan Chargers,Kolkata Knight Riders,0
